Orth,Phon
a,a
á,a
â,a
æ,æ
ae,æ
e,ø
ê,e
é,e
è,ɛ
i,i
ï,i
î,i
ì,ɪ
o,o
ô,o
ò,ɔ
œ,œ
oe,œ
ou,u
û,y
u,y
ç,s
ch,tʃ
dj,dʒ
j,ʒ
ng,ŋ
ñ,ɲ
r,ɾ
sh,ʃ
y,j
