Orth,Phon
ɔ̃,on
ø,e
ə,e
ɪ,ì
ɔ,ò
u,ou
y,u
tʃ,ch
dʒ,dj
ʒ,j
ɲ,ñ
ɾ,r
ʃ,sh
j,y
ŋ,ng
ɛ,è
