Orth,Phon
ə̃,en
ɛ̃,en
œ̃,en
ɔ̃,on
ɑ̃,an
ã,an
a,a
b,b
d,d
ə,eu
e,e
ɛ,è
f,f
g,g
ʒ,j
h,h
j,y
k,k
l,l
m,m
n,n
ŋ,ng
ɲ,gn
ɔ,ò
p,p
r,r
ɾ,r
s,s
ʃ,ch
t,t
v,v
y,u
u,ou
ɥ,u
œ,è
ø,eu
tʃ,tch
dʒ,dj
